epoch,val_accuracy
0,10.583333333333334
1,10.016666666666667
2,9.5
3,24.9
4,64.23333333333333
5,73.8
6,77.08333333333333
7,79.75
8,81.81666666666666
9,82.4
10,80.68333333333334
11,84.56666666666666
12,85.26666666666667
13,85.6
14,86.35
15,86.03333333333333
16,86.81666666666666
17,86.86666666666666
18,86.98333333333333
19,88.46666666666667
20,88.38333333333334
21,87.65
22,88.3
23,88.6
24,87.96666666666667
25,88.48333333333333
26,88.93333333333334
27,88.65
28,89.06666666666666
29,89.41666666666667
