epoch,val_accuracy
0,10.5
1,10.183333333333334
2,10.166666666666666
3,10.533333333333333
4,10.083333333333334
5,10.166666666666666
6,9.35
7,17.35
8,50.45
9,68.88333333333334
10,73.68333333333334
11,76.78333333333333
12,78.88333333333334
13,80.1
14,81.38333333333334
15,82.68333333333334
16,82.56666666666666
17,84.05
18,84.68333333333334
19,84.93333333333334
20,86.26666666666667
21,86.8
22,86.91666666666667
23,87.16666666666667
24,87.01666666666667
25,87.4
26,87.48333333333333
27,88.2
28,88.23333333333333
29,88.05
